site,feature_type,feature,n_total,n_baits,h_stat,p_value,eta_sq,dominant_bait,weakest_bait,mean_diff_max_minus_min,p_value_holm,p_value_bh,significant_holm,significant_bh
milimani,family,zanclidae,17,6,14.17008797653959,0.01456433884371074,0.833644361503599,mackerel,control,2.3333333333333335,0.3204154545616363,0.2290824236074078,False,False
milimani,family,lutjanidae,17,6,13.287836583101209,0.02082567487340071,0.7534396893728371,fischmix,ulva_salad,7.75,0.4373391723414149,0.2290824236074078,False,False
milimani,family,labridae,17,6,11.555555555555557,0.04141218591170972,0.5959595959595961,fischmix,ulva_gutweed,4.0,0.8282437182341944,0.30368936335253793,False,False
milimani,family,balistidae,17,6,10.495238095238086,0.06235908387621406,0.49956709956709877,fischmix,control,1.0,1.0,0.3429749613191773,False,False
milimani,family,acanthuridae,17,6,9.715789473684207,0.0837005948168812,0.4287081339712916,mackerel,fischmix,34.333333333333336,1.0,0.3682826171942773,False,False
milimani,family,blenniidae,17,6,7.69223744292237,0.17403257557099772,0.2447488584474882,ulva_salad,fischmix,1.75,1.0,0.6216722880327434,False,False
milimani,family,holocentridae,17,6,6.933333333333337,0.22564579895460157,0.1757575757575761,sargassum,fischmix,0.6666666666666666,1.0,0.6216722880327434,False,False
milimani,family,tetraodontidae,17,6,6.1754385964912295,0.2895204089676006,0.10685805422647542,ulva_gutweed,fischmix,1.6666666666666667,1.0,0.6216722880327434,False,False
milimani,family,serranidae,17,6,6.101426307448495,0.2964744577040607,0.10012966431349955,fischmix,ulva_gutweed,4.0,1.0,0.6216722880327434,False,False
milimani,family,carangidae,17,6,5.82248520710058,0.3238769222471514,0.07477138246368907,fischmix,sargassum,7.0,1.0,0.6216722880327434,False,False
milimani,family,pinguipedidae,17,6,5.704040404040397,0.3360902486551878,0.06400367309458152,fischmix,ulva_gutweed,1.0,1.0,0.6216722880327434,False,False
milimani,family,monacanthidae,17,6,5.675415573053363,0.3390939752905873,0.06140141573212392,ulva_salad,ulva_gutweed,1.9166666666666667,1.0,0.6216722880327434,False,False
milimani,family,aulostomidae,17,6,5.102564102564109,0.4034918982358736,0.009324009324009936,control,fischmix,1.0,1.0,0.6828324431684015,False,False
milimani,family,chaetodontidae,17,6,4.6568914956011715,0.45917011322698276,0.0,sargassum,ulva_gutweed,1.3333333333333335,1.0,0.7215530350709729,False,False
milimani,family,scaridae,17,6,4.080331262939954,0.5379092048747243,0.0,sargassum,control,9.333333333333334,1.0,0.7557610898888528,False,False
milimani,family,mullidae,17,6,3.6104575163398596,0.6067438296994075,0.0,sargassum,control,4.333333333333333,1.0,0.7557610898888528,False,False
milimani,family,pomacentridae,17,6,3.5337423312883454,0.6182882483297394,0.0,sargassum,ulva_gutweed,76.66666666666666,1.0,0.7557610898888528,False,False
milimani,family,siganidae,17,6,3.533333333333337,0.6183499826363341,0.0,fischmix,sargassum,1.3333333333333335,1.0,0.7557610898888528,False,False
milimani,family,scombridae,17,6,2.5079365079364897,0.7752993457794344,0.0,control,fischmix,0.3333333333333333,1.0,0.8663364236021438,False,False
milimani,family,lethrinidae,17,6,2.4261168384879754,0.7875785669110399,0.0,sargassum,mackerel,6.0,1.0,0.8663364236021438,False,False
milimani,family,cirrhitidae,17,6,2.1481481481481524,0.8282894084776627,0.0,fischmix,control,0.6666666666666667,1.0,0.8677317612623133,False,False
milimani,family,pomacanthidae,17,6,1.2497753818508526,0.9400139027225545,0.0,ulva_salad,control,0.75,1.0,0.9400139027225545,False,False
